archetype,trades,net_pnl_usd,win_rate,profit_factor,max_dd_usd,max_dd_pct,avg_hold
momentum_trader,453,-342.36,0.406,0.686,453.63,4.54,1.6d
swing_trader,27865,-9362.06,0.343,0.907,16554.48,165.54,3.9d
