wallet,archetype,coin,dir,qty,entry_ts,entry_px,exit_ts,exit_px,gross_pnl,fees,net_pnl,hold_s,exit_reason
0x847bd1ef4fede0fe191129894d63044843f4d473,scalper,xyz:MU,short,0.14660254415921625,1786608180000,907.9458000000001,1786608300000,905.1223349999999,0.4139271523445263,0.1196101805962524,0.29431697174827387,120.0,source_partial_close
0x847bd1ef4fede0fe191129894d63044843f4d473,scalper,xyz:MU,short,0.10739130895980974,1786608180000,907.9458000000001,1786608300000,905.1223349999999,0.30321560215222737,0.09435566342996217,0.20885993872226521,120.0,source_partial_close
0x847bd1ef4fede0fe191129894d63044843f4d473,scalper,xyz:MU,short,0.10739130895980971,1786608180000,907.9458000000001,1786608300000,905.1223349999999,0.3032156021522273,0.10077012458468322,0.2024454775675441,120.0,source_partial_close
0x847bd1ef4fede0fe191129894d63044843f4d473,scalper,xyz:MU,short,0.10739130895980963,1786608180000,907.9458000000001,1786608300000,905.1223349999999,0.3032156021522271,0.10904635698818449,0.1941692451640426,120.0,source_partial_close
0x847bd1ef4fede0fe191129894d63044843f4d473,scalper,xyz:MU,short,0.0032363986513945834,1786608180000,907.9458000000001,1786608300000,905.1223349999999,0.009137858318260356,0.0036203741300689088,0.005517484188191447,120.0,source_partial_close
0x847bd1ef4fede0fe191129894d63044843f4d473,scalper,xyz:MU,short,0.0502272258235913,1786608180000,907.9458000000001,1786608300000,905.1223349999999,0.1418148141600147,0.05637005065946325,0.08544476350055145,120.0,source_partial_close
0x847bd1ef4fede0fe191129894d63044843f4d473,scalper,xyz:MU,short,0.13323874967429658,1786608180000,907.9458000000001,1786608300000,905.1223349999999,0.37619494634916034,0.15779592216431776,0.21839902418484256,120.0,source_partial_close
0x847bd1ef4fede0fe191129894d63044843f4d473,scalper,xyz:MU,short,0.060566889047527266,1786608180000,907.9458000000001,1786608300000,905.1223349999999,0.17100849138458682,0.08579183154505104,0.08521665983953577,120.0,source_partial_close
0x847bd1ef4fede0fe191129894d63044843f4d473,scalper,xyz:MU,short,0.08586964214024853,1786608180000,907.9458000000001,1786608300000,905.1223349999999,0.24244992914553135,0.1352532803110748,0.10719664883445654,120.0,source_partial_close
0x847bd1ef4fede0fe191129894d63044843f4d473,scalper,xyz:MU,short,0.08107809089013189,1786608180000,907.9458000000001,1786608300000,905.1223349999999,0.22892115189511997,0.15485509487208673,0.07406605702303323,120.0,source_partial_close
0x847bd1ef4fede0fe191129894d63044843f4d473,scalper,xyz:MU,short,0.028371027138848624,1786608180000,907.9458000000001,1786608300000,905.1223349999999,0.08010460214059403,0.07001409220981927,0.010090509930774757,120.0,source_partial_close
0x847bd1ef4fede0fe191129894d63044843f4d473,scalper,xyz:MU,short,0.04850394861960195,1786608180000,907.9458000000001,1786608300000,905.1223349999999,0.13694920128925264,0.13461987140272205,0.002329329886530597,120.0,source_partial_close
0x847bd1ef4fede0fe191129894d63044843f4d473,scalper,xyz:MU,short,0.14151888648370867,1786608180000,907.9458000000001,1786608300000,905.1223349999999,0.39957362282574843,0.5076413572413304,-0.10806773441558201,120.0,source_flip
0x847bd1ef4fede0fe191129894d63044843f4d473,scalper,xyz:MU,long,0.005333201974151056,1786608300000,905.1223349999999,1786608300000,904.217665,-0.004824787829954683,0.004342309046959712,-0.009167096876914395,0.0,source_partial_close
0x847bd1ef4fede0fe191129894d63044843f4d473,scalper,xyz:MU,long,0.017004412091495967,1786608300000,905.1223349999999,1786608300000,904.217665,-0.015383381486811894,0.013878638615613004,-0.029262020102424898,0.0,source_partial_close
0x847bd1ef4fede0fe191129894d63044843f4d473,scalper,xyz:MU,long,0.017004412091495964,1786608300000,905.1223349999999,1786608300000,904.217665,-0.015383381486811891,0.013987964371102033,-0.029371345857913927,0.0,source_partial_close
0x847bd1ef4fede0fe191129894d63044843f4d473,scalper,xyz:MU,long,0.01700441209149596,1786608300000,905.1223349999999,1786608300000,904.217665,-0.01538338148681189,0.014100779668296919,-0.029484161155108806,0.0,source_partial_close
0x847bd1ef4fede0fe191129894d63044843f4d473,scalper,xyz:MU,long,0.01700441209149596,1786608300000,905.1223349999999,1786608300000,904.217665,-0.01538338148681189,0.014217254289543832,-0.02960063577635572,0.0,source_partial_close
0x847bd1ef4fede0fe191129894d63044843f4d473,scalper,xyz:MU,long,0.017004412091495957,1786608300000,905.1223349999999,1786608300000,904.217665,-0.015383381486811886,0.014337569213027432,-0.029720950699839314,0.0,source_partial_close
0x847bd1ef4fede0fe191129894d63044843f4d473,scalper,xyz:MU,long,0.017004412091495953,1786608300000,905.1223349999999,1786608300000,904.217665,-0.015383381486811882,0.01446191755108877,-0.029845299037900654,0.0,source_partial_close
0x847bd1ef4fede0fe191129894d63044843f4d473,scalper,xyz:MU,long,0.11756232177802389,1786608300000,905.1223349999999,1786608300000,904.217665,-0.1063551056429127,0.10087344997297579,-0.2072285556158885,0.0,source_partial_close
0x847bd1ef4fede0fe191129894d63044843f4d473,scalper,xyz:MU,long,0.007265521530002751,1786608300000,905.1223349999999,1786608300000,904.217665,-0.006572899362546836,0.006672067202216382,-0.01324496656476322,0.0,source_partial_close
0x847bd1ef4fede0fe191129894d63044843f4d473,scalper,xyz:MU,long,0.017004412091495957,1786608300000,905.1223349999999,1786608300000,904.217665,-0.015383381486811886,0.01568788237457353,-0.031071263861385416,0.0,source_partial_close
0x847bd1ef4fede0fe191129894d63044843f4d473,scalper,xyz:MU,long,0.017004412091495957,1786608300000,905.1223349999999,1786608300000,904.217665,-0.015383381486811886,0.01586214983912594,-0.031245531325937825,0.0,source_partial_close
0x847bd1ef4fede0fe191129894d63044843f4d473,scalper,xyz:MU,long,0.017004412091495957,1786608300000,905.1223349999999,1786608300000,904.217665,-0.015383381486811886,0.016043484371365276,-0.03142686585817716,0.0,source_partial_close
