month,trades,net_pnl_usd
2025-08,61,-551.70
2025-09,83,-776.76
2025-10,134,3179.86
2025-11,465,-4337.29
2025-12,728,-6464.17
2026-01,623,-1951.41
2026-02,8862,3557.82
2026-03,6073,-5390.08
2026-04,3542,3896.71
2026-05,1998,412.50
2026-06,3169,1931.95
2026-07,1579,-1640.59
2026-08,1001,-1571.26
